,atqui,aut,autem,certe,ceu,confestim,cum,dehinc,deinceps,demum,denique,enim,ergo,eciam,exinde,forsan,forsitan,fortassis,ideo,igitur,ita,itaque,iterum,mox,multotiens,nam,namque,nempe,nimirum,puta,quando,quemadmodum,quia,quidem,quippe,quod,quoniam,quoque,praecipue,rursum,rursus,sane,scilicet,saepe,sic,sicut,siquidem,tamquam,ut,utique,uelut,ueluti,uero,uidelicet
922,0.0,0.046208563240226146,0.7701427206704358,0.0,0.0,0.0,0.015402854413408714,0.0,0.0,0.0,0.0,0.09241712648045229,0.0,0.09241712648045229,0.0,0.0,0.0,0.0,0.0,0.13862568972067843,0.0,0.030805708826817428,0.0,0.0,0.0,0.0,0.015402854413408714,0.0,0.0,0.0,0.0,0.0,0.030805708826817428,0.44668277798885275,0.0,0.3080570882681743,0.0,0.2002371073743133,0.0,0.061611417653634856,0.0,0.0,0.046208563240226146,0.0,0.030805708826817428,0.061611417653634856,0.0,0.030805708826817428,0.015402854413408714,0.015402854413408714,0.0,0.015402854413408714,0.13862568972067843,0.0
923,0.0,0.24218412394577615,0.5920056363118973,0.0,0.0,0.0,0.1345467355254312,0.0,0.0,0.0,0.0,0.4305495536813798,0.10763738842034495,0.05381869421017248,0.0,0.0,0.0,0.0,0.0,0.08072804131525872,0.05381869421017248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10763738842034495,0.02690934710508624,0.16145608263051744,0.2152747768406899,0.0,0.4843682478915523,0.02690934710508624,0.02690934710508624,0.0,0.0,0.0,0.0,0.0,0.0,0.05381869421017248,0.1345467355254312,0.02690934710508624,0.0,0.1345467355254312,0.05381869421017248,0.0,0.0,0.0,0.0
924,0.0,0.2524467210539465,0.4487941707625715,0.0,0.0,0.0,0.05609927134532144,0.0,0.0,0.0,0.0,0.30854599239926794,0.0,0.08414890701798217,0.02804963567266072,0.0,0.0,0.02804963567266072,0.0,0.05609927134532144,0.1402481783633036,0.0,0.0,0.0,0.0,0.02804963567266072,0.0,0.0,0.0,0.0,0.05609927134532144,0.05609927134532144,0.16829781403596433,0.504893442107893,0.0,0.36464526374458933,0.0,0.1402481783633036,0.0,0.05609927134532144,0.0,0.0,0.0,0.0,0.02804963567266072,0.30854599239926794,0.0,0.08414890701798217,0.05609927134532144,0.11219854269064287,0.02804963567266072,0.02804963567266072,0.19634744970862503,0.0
925,0.0,0.3156679052661108,0.6070536639732901,0.0,0.0,0.0,0.04856429311786321,0.0,0.0,0.0,0.0,0.3156679052661108,0.0,0.14569287935358963,0.0,0.0,0.0,0.024282146558931603,0.0,0.07284643967679481,0.04856429311786321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09712858623572641,0.07284643967679481,0.24282146558931603,0.4127964915018373,0.0,0.24282146558931603,0.0,0.09712858623572641,0.0,0.0,0.0,0.0,0.024282146558931603,0.0,0.12141073279465801,0.07284643967679481,0.0,0.0,0.24282146558931603,0.07284643967679481,0.0,0.04856429311786321,0.024282146558931603,0.0
926,0.0,0.1326716253613319,0.5306865014453276,0.0,0.0,0.033167906340332974,0.16583953170166485,0.0,0.0,0.0,0.0,0.4311827824243286,0.033167906340332974,0.2653432507226638,0.0,0.0,0.0,0.033167906340332974,0.033167906340332974,0.0,0.09950371902099892,0.0,0.0,0.033167906340332974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033167906340332974,0.16583953170166485,0.3648469697436627,0.0,0.2321753443823308,0.0,0.06633581268066595,0.0,0.033167906340332974,0.0,0.0,0.0,0.0,0.06633581268066595,0.3316790634033297,0.0,0.16583953170166485,0.09950371902099892,0.033167906340332974,0.0,0.0,0.16583953170166485,0.0
927,0.0,0.43915503282683993,0.5367450401216932,0.0,0.0,0.024397501823713332,0.07319250547113999,0.0,0.0,0.0,0.0,0.43915503282683993,0.17078251276599332,0.07319250547113999,0.0,0.0,0.0,0.0,0.0,0.14638501094227999,0.07319250547113999,0.0,0.0,0.0,0.0,0.024397501823713332,0.0,0.0,0.0,0.0,0.024397501823713332,0.048795003647426664,0.09759000729485333,0.34156502553198664,0.0,0.2683725200608466,0.0,0.048795003647426664,0.0,0.024397501823713332,0.0,0.0,0.09759000729485333,0.0,0.048795003647426664,0.19518001458970666,0.0,0.0,0.024397501823713332,0.048795003647426664,0.0,0.024397501823713332,0.024397501823713332,0.0
928,0.0,0.31669659913716236,0.6090319214176199,0.0,0.0,0.0,0.04872255371340959,0.0,0.0,0.0,0.0,0.34105787599386717,0.0,0.14616766114022878,0.0,0.0,0.0,0.024361276856704795,0.0,0.04872255371340959,0.04872255371340959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09744510742681918,0.07308383057011439,0.24361276856704797,0.3897804297072767,0.0,0.24361276856704797,0.0,0.09744510742681918,0.0,0.0,0.0,0.0,0.024361276856704795,0.0,0.12180638428352399,0.07308383057011439,0.0,0.0,0.24361276856704797,0.07308383057011439,0.0,0.04872255371340959,0.024361276856704795,0.0
929,0.0,0.056077215409204434,0.5888107617966465,0.0,0.0,0.0,0.3084246847506244,0.0,0.0,0.0,0.0,0.3645019001598288,0.056077215409204434,0.056077215409204434,0.0,0.0,0.0,0.0,0.0,0.14019303852301107,0.028038607704602217,0.0,0.0,0.0,0.0,0.028038607704602217,0.0,0.0,0.0,0.0,0.08411582311380665,0.028038607704602217,0.22430886163681774,0.1962702539322155,0.0,0.5046949386828399,0.028038607704602217,0.056077215409204434,0.0,0.028038607704602217,0.0,0.0,0.0,0.0,0.028038607704602217,0.11215443081840887,0.028038607704602217,0.0,0.14019303852301107,0.056077215409204434,0.0,0.028038607704602217,0.028038607704602217,0.0
930,0.0,0.06791377029750231,0.764029915846901,0.0,0.0,0.0,0.016978442574375578,0.0,0.0,0.0,0.0,0.13582754059500463,0.016978442574375578,0.10187065544625348,0.0,0.0,0.0,0.0,0.0,0.11884909802062905,0.0,0.033956885148751156,0.0,0.0,0.0,0.016978442574375578,0.016978442574375578,0.0,0.0,0.0,0.033956885148751156,0.0,0.11884909802062905,0.40748262178501393,0.0,0.322590408913136,0.0,0.22071975346688252,0.0,0.033956885148751156,0.0,0.0,0.05093532772312674,0.0,0.033956885148751156,0.05093532772312674,0.0,0.0,0.0,0.016978442574375578,0.0,0.033956885148751156,0.1528059831693802,0.0
931,0.0,0.45601459270045336,0.6240199689585151,0.0,0.0,0.0,0.04800153607373193,0.0,0.0,0.0,0.0,0.4320138246635874,0.12000384018432983,0.024000768036865964,0.0,0.0,0.0,0.0,0.0,0.024000768036865964,0.0720023041105979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0720023041105979,0.024000768036865964,0.09600307214746386,0.2880092164423916,0.0,0.24000768036865966,0.0,0.04800153607373193,0.0,0.04800153607373193,0.0,0.0,0.024000768036865964,0.0,0.04800153607373193,0.12000384018432983,0.0,0.0,0.12000384018432983,0.024000768036865964,0.0,0.0,0.024000768036865964,0.0
